country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Jawa Tengah,Logging,2002,215
Indonesia,Jawa Tengah,Other natural disturbances,2002,57
Indonesia,Jawa Tengah,Permanent agriculture,2002,1322
Indonesia,Jawa Tengah,Settlements & Infrastructure,2002,74
Indonesia,Jawa Tengah,Shifting cultivation,2002,135
Indonesia,Jawa Tengah,Wildfire,2002,3
Indonesia,Jawa Tengah,Hard commodities,2003,0
Indonesia,Jawa Tengah,Logging,2003,127
Indonesia,Jawa Tengah,Other natural disturbances,2003,56
Indonesia,Jawa Tengah,Permanent agriculture,2003,473
Indonesia,Jawa Tengah,Settlements & Infrastructure,2003,25
Indonesia,Jawa Tengah,Shifting cultivation,2003,76
Indonesia,Jawa Tengah,Wildfire,2003,1
Indonesia,Jawa Tengah,Hard commodities,2004,3
Indonesia,Jawa Tengah,Logging,2004,409
Indonesia,Jawa Tengah,Other natural disturbances,2004,119
Indonesia,Jawa Tengah,Permanent agriculture,2004,2579
Indonesia,Jawa Tengah,Settlements & Infrastructure,2004,123
Indonesia,Jawa Tengah,Shifting cultivation,2004,215
Indonesia,Jawa Tengah,Wildfire,2004,5
Indonesia,Jawa Tengah,Hard commodities,2005,16
Indonesia,Jawa Tengah,Logging,2005,100
Indonesia,Jawa Tengah,Other natural disturbances,2005,42
Indonesia,Jawa Tengah,Permanent agriculture,2005,1327
Indonesia,Jawa Tengah,Settlements & Infrastructure,2005,60
Indonesia,Jawa Tengah,Shifting cultivation,2005,97
Indonesia,Jawa Tengah,Wildfire,2005,0
Indonesia,Jawa Tengah,Hard commodities,2006,3
Indonesia,Jawa Tengah,Logging,2006,97
Indonesia,Jawa Tengah,Other natural disturbances,2006,46
Indonesia,Jawa Tengah,Permanent agriculture,2006,3009
Indonesia,Jawa Tengah,Settlements & Infrastructure,2006,120
Indonesia,Jawa Tengah,Shifting cultivation,2006,131
Indonesia,Jawa Tengah,Wildfire,2006,2
Indonesia,Jawa Tengah,Hard commodities,2007,3
Indonesia,Jawa Tengah,Logging,2007,88
Indonesia,Jawa Tengah,Other natural disturbances,2007,60
Indonesia,Jawa Tengah,Permanent agriculture,2007,2459
Indonesia,Jawa Tengah,Settlements & Infrastructure,2007,87
Indonesia,Jawa Tengah,Shifting cultivation,2007,119
Indonesia,Jawa Tengah,Wildfire,2007,6
Indonesia,Jawa Tengah,Hard commodities,2008,1
Indonesia,Jawa Tengah,Logging,2008,35
Indonesia,Jawa Tengah,Other natural disturbances,2008,36
Indonesia,Jawa Tengah,Permanent agriculture,2008,2349
Indonesia,Jawa Tengah,Settlements & Infrastructure,2008,82
Indonesia,Jawa Tengah,Shifting cultivation,2008,79
Indonesia,Jawa Tengah,Wildfire,2008,2
Indonesia,Jawa Tengah,Hard commodities,2009,3
Indonesia,Jawa Tengah,Logging,2009,39
Indonesia,Jawa Tengah,Other natural disturbances,2009,56
Indonesia,Jawa Tengah,Permanent agriculture,2009,2651
Indonesia,Jawa Tengah,Settlements & Infrastructure,2009,151
Indonesia,Jawa Tengah,Shifting cultivation,2009,67
Indonesia,Jawa Tengah,Wildfire,2009,1
Indonesia,Jawa Tengah,Hard commodities,2010,2
Indonesia,Jawa Tengah,Logging,2010,28
Indonesia,Jawa Tengah,Other natural disturbances,2010,27
Indonesia,Jawa Tengah,Permanent agriculture,2010,1102
Indonesia,Jawa Tengah,Settlements & Infrastructure,2010,68
Indonesia,Jawa Tengah,Shifting cultivation,2010,33
Indonesia,Jawa Tengah,Hard commodities,2011,17
Indonesia,Jawa Tengah,Logging,2011,106
Indonesia,Jawa Tengah,Other natural disturbances,2011,61
Indonesia,Jawa Tengah,Permanent agriculture,2011,3919
Indonesia,Jawa Tengah,Settlements & Infrastructure,2011,192
Indonesia,Jawa Tengah,Shifting cultivation,2011,69
Indonesia,Jawa Tengah,Wildfire,2011,1
Indonesia,Jawa Tengah,Hard commodities,2012,4
Indonesia,Jawa Tengah,Logging,2012,86
Indonesia,Jawa Tengah,Other natural disturbances,2012,42
Indonesia,Jawa Tengah,Permanent agriculture,2012,1963
Indonesia,Jawa Tengah,Settlements & Infrastructure,2012,157
Indonesia,Jawa Tengah,Shifting cultivation,2012,74
Indonesia,Jawa Tengah,Wildfire,2012,11
Indonesia,Jawa Tengah,Hard commodities,2013,9
Indonesia,Jawa Tengah,Logging,2013,75
Indonesia,Jawa Tengah,Other natural disturbances,2013,12
Indonesia,Jawa Tengah,Permanent agriculture,2013,960
Indonesia,Jawa Tengah,Settlements & Infrastructure,2013,80
Indonesia,Jawa Tengah,Shifting cultivation,2013,16
Indonesia,Jawa Tengah,Hard commodities,2014,15
Indonesia,Jawa Tengah,Logging,2014,94
Indonesia,Jawa Tengah,Other natural disturbances,2014,20
Indonesia,Jawa Tengah,Permanent agriculture,2014,2492
Indonesia,Jawa Tengah,Settlements & Infrastructure,2014,122
Indonesia,Jawa Tengah,Shifting cultivation,2014,87
Indonesia,Jawa Tengah,Hard commodities,2015,20
Indonesia,Jawa Tengah,Logging,2015,46
Indonesia,Jawa Tengah,Other natural disturbances,2015,8
Indonesia,Jawa Tengah,Permanent agriculture,2015,1572
Indonesia,Jawa Tengah,Settlements & Infrastructure,2015,101
Indonesia,Jawa Tengah,Shifting cultivation,2015,32
Indonesia,Jawa Tengah,Wildfire,2015,0
Indonesia,Jawa Tengah,Hard commodities,2016,19
Indonesia,Jawa Tengah,Logging,2016,102
Indonesia,Jawa Tengah,Other natural disturbances,2016,91
Indonesia,Jawa Tengah,Permanent agriculture,2016,1794
Indonesia,Jawa Tengah,Settlements & Infrastructure,2016,145
Indonesia,Jawa Tengah,Shifting cultivation,2016,86
Indonesia,Jawa Tengah,Wildfire,2016,0
Indonesia,Jawa Tengah,Hard commodities,2017,52
Indonesia,Jawa Tengah,Logging,2017,69
Indonesia,Jawa Tengah,Other natural disturbances,2017,41
Indonesia,Jawa Tengah,Permanent agriculture,2017,2943
Indonesia,Jawa Tengah,Settlements & Infrastructure,2017,245
Indonesia,Jawa Tengah,Shifting cultivation,2017,37
Indonesia,Jawa Tengah,Wildfire,2017,0
Indonesia,Jawa Tengah,Hard commodities,2018,16
Indonesia,Jawa Tengah,Logging,2018,30
Indonesia,Jawa Tengah,Other natural disturbances,2018,33
Indonesia,Jawa Tengah,Permanent agriculture,2018,2250
Indonesia,Jawa Tengah,Settlements & Infrastructure,2018,159
Indonesia,Jawa Tengah,Shifting cultivation,2018,51
Indonesia,Jawa Tengah,Wildfire,2018,1
Indonesia,Jawa Tengah,Hard commodities,2019,13
Indonesia,Jawa Tengah,Logging,2019,60
Indonesia,Jawa Tengah,Other natural disturbances,2019,32
Indonesia,Jawa Tengah,Permanent agriculture,2019,2396
Indonesia,Jawa Tengah,Settlements & Infrastructure,2019,142
Indonesia,Jawa Tengah,Shifting cultivation,2019,85
Indonesia,Jawa Tengah,Wildfire,2019,1
Indonesia,Jawa Tengah,Hard commodities,2020,10
Indonesia,Jawa Tengah,Logging,2020,123
Indonesia,Jawa Tengah,Other natural disturbances,2020,93
Indonesia,Jawa Tengah,Permanent agriculture,2020,2286
Indonesia,Jawa Tengah,Settlements & Infrastructure,2020,103
Indonesia,Jawa Tengah,Shifting cultivation,2020,98
Indonesia,Jawa Tengah,Hard commodities,2021,58
Indonesia,Jawa Tengah,Logging,2021,66
Indonesia,Jawa Tengah,Other natural disturbances,2021,65
Indonesia,Jawa Tengah,Permanent agriculture,2021,1708
Indonesia,Jawa Tengah,Settlements & Infrastructure,2021,120
Indonesia,Jawa Tengah,Shifting cultivation,2021,48
Indonesia,Jawa Tengah,Hard commodities,2022,14
Indonesia,Jawa Tengah,Logging,2022,72
Indonesia,Jawa Tengah,Other natural disturbances,2022,41
Indonesia,Jawa Tengah,Permanent agriculture,2022,1731
Indonesia,Jawa Tengah,Settlements & Infrastructure,2022,108
Indonesia,Jawa Tengah,Shifting cultivation,2022,77
Indonesia,Jawa Tengah,Hard commodities,2023,34
Indonesia,Jawa Tengah,Logging,2023,130
Indonesia,Jawa Tengah,Other natural disturbances,2023,21
Indonesia,Jawa Tengah,Permanent agriculture,2023,4103
Indonesia,Jawa Tengah,Settlements & Infrastructure,2023,341
Indonesia,Jawa Tengah,Shifting cultivation,2023,57
Indonesia,Jawa Tengah,Hard commodities,2024,13
Indonesia,Jawa Tengah,Logging,2024,123
Indonesia,Jawa Tengah,Other natural disturbances,2024,73
Indonesia,Jawa Tengah,Permanent agriculture,2024,2328
Indonesia,Jawa Tengah,Settlements & Infrastructure,2024,137
Indonesia,Jawa Tengah,Shifting cultivation,2024,72
Indonesia,Jawa Tengah,Wildfire,2024,0
Indonesia,Jawa Tengah,Hard commodities,2025,11
Indonesia,Jawa Tengah,Logging,2025,106
Indonesia,Jawa Tengah,Other natural disturbances,2025,36
Indonesia,Jawa Tengah,Permanent agriculture,2025,2053
Indonesia,Jawa Tengah,Settlements & Infrastructure,2025,96
Indonesia,Jawa Tengah,Shifting cultivation,2025,72
Indonesia,Jawa Timur,Hard commodities,2001,3
Indonesia,Jawa Timur,Logging,2001,184
Indonesia,Jawa Timur,Other natural disturbances,2001,152
Indonesia,Jawa Timur,Permanent agriculture,2001,3192
Indonesia,Jawa Timur,Settlements & Infrastructure,2001,87
Indonesia,Jawa Timur,Shifting cultivation,2001,427
Indonesia,Jawa Timur,Wildfire,2001,8
Indonesia,Jawa Timur,Hard commodities,2002,19
Indonesia,Jawa Timur,Logging,2002,234
Indonesia,Jawa Timur,Other natural disturbances,2002,143
Indonesia,Jawa Timur,Permanent agriculture,2002,3211
Indonesia,Jawa Timur,Settlements & Infrastructure,2002,38
Indonesia,Jawa Timur,Shifting cultivation,2002,319
Indonesia,Jawa Timur,Wildfire,2002,4
Indonesia,Jawa Timur,Hard commodities,2003,0
Indonesia,Jawa Timur,Logging,2003,275
Indonesia,Jawa Timur,Other natural disturbances,2003,333
Indonesia,Jawa Timur,Permanent agriculture,2003,1833
Indonesia,Jawa Timur,Settlements & Infrastructure,2003,21
Indonesia,Jawa Timur,Shifting cultivation,2003,348
Indonesia,Jawa Timur,Wildfire,2003,49
Indonesia,Jawa Timur,Hard commodities,2004,1
Indonesia,Jawa Timur,Logging,2004,672
Indonesia,Jawa Timur,Other natural disturbances,2004,162
Indonesia,Jawa Timur,Permanent agriculture,2004,4972
Indonesia,Jawa Timur,Settlements & Infrastructure,2004,67
Indonesia,Jawa Timur,Shifting cultivation,2004,442
Indonesia,Jawa Timur,Wildfire,2004,20
Indonesia,Jawa Timur,Hard commodities,2005,2
Indonesia,Jawa Timur,Logging,2005,119
Indonesia,Jawa Timur,Other natural disturbances,2005,80
Indonesia,Jawa Timur,Permanent agriculture,2005,2336
Indonesia,Jawa Timur,Settlements & Infrastructure,2005,43
Indonesia,Jawa Timur,Shifting cultivation,2005,179
Indonesia,Jawa Timur,Wildfire,2005,4
Indonesia,Jawa Timur,Hard commodities,2006,12
Indonesia,Jawa Timur,Logging,2006,119
Indonesia,Jawa Timur,Other natural disturbances,2006,76
Indonesia,Jawa Timur,Permanent agriculture,2006,5030
Indonesia,Jawa Timur,Settlements & Infrastructure,2006,79
Indonesia,Jawa Timur,Shifting cultivation,2006,342
Indonesia,Jawa Timur,Wildfire,2006,2
Indonesia,Jawa Timur,Hard commodities,2007,2
Indonesia,Jawa Timur,Logging,2007,397
Indonesia,Jawa Timur,Other natural disturbances,2007,102
Indonesia,Jawa Timur,Permanent agriculture,2007,3460
Indonesia,Jawa Timur,Settlements & Infrastructure,2007,64
Indonesia,Jawa Timur,Shifting cultivation,2007,316
Indonesia,Jawa Timur,Wildfire,2007,5
Indonesia,Jawa Timur,Hard commodities,2008,3
Indonesia,Jawa Timur,Logging,2008,209
Indonesia,Jawa Timur,Other natural disturbances,2008,65
Indonesia,Jawa Timur,Permanent agriculture,2008,3333
Indonesia,Jawa Timur,Settlements & Infrastructure,2008,70
Indonesia,Jawa Timur,Shifting cultivation,2008,219
Indonesia,Jawa Timur,Wildfire,2008,3
Indonesia,Jawa Timur,Hard commodities,2009,2
Indonesia,Jawa Timur,Logging,2009,233
Indonesia,Jawa Timur,Other natural disturbances,2009,130
Indonesia,Jawa Timur,Permanent agriculture,2009,3403
Indonesia,Jawa Timur,Settlements & Infrastructure,2009,91
Indonesia,Jawa Timur,Shifting cultivation,2009,309
Indonesia,Jawa Timur,Wildfire,2009,8
Indonesia,Jawa Timur,Hard commodities,2010,1
Indonesia,Jawa Timur,Logging,2010,64
Indonesia,Jawa Timur,Other natural disturbances,2010,80
Indonesia,Jawa Timur,Permanent agriculture,2010,1201
Indonesia,Jawa Timur,Settlements & Infrastructure,2010,53
Indonesia,Jawa Timur,Shifting cultivation,2010,178
Indonesia,Jawa Timur,Wildfire,2010,5
Indonesia,Jawa Timur,Hard commodities,2011,7
Indonesia,Jawa Timur,Logging,2011,169
Indonesia,Jawa Timur,Other natural disturbances,2011,78
Indonesia,Jawa Timur,Permanent agriculture,2011,5199
Indonesia,Jawa Timur,Settlements & Infrastructure,2011,68
Indonesia,Jawa Timur,Shifting cultivation,2011,181
Indonesia,Jawa Timur,Wildfire,2011,14
Indonesia,Jawa Timur,Hard commodities,2012,22
Indonesia,Jawa Timur,Logging,2012,125
Indonesia,Jawa Timur,Other natural disturbances,2012,202
Indonesia,Jawa Timur,Permanent agriculture,2012,7157
Indonesia,Jawa Timur,Settlements & Infrastructure,2012,127
Indonesia,Jawa Timur,Shifting cultivation,2012,482
Indonesia,Jawa Timur,Wildfire,2012,21
Indonesia,Jawa Timur,Hard commodities,2013,11
Indonesia,Jawa Timur,Logging,2013,51
Indonesia,Jawa Timur,Other natural disturbances,2013,62
Indonesia,Jawa Timur,Permanent agriculture,2013,2461
Indonesia,Jawa Timur,Settlements & Infrastructure,2013,24
Indonesia,Jawa Timur,Shifting cultivation,2013,91
Indonesia,Jawa Timur,Wildfire,2013,4
Indonesia,Jawa Timur,Hard commodities,2014,9
Indonesia,Jawa Timur,Logging,2014,117
Indonesia,Jawa Timur,Other natural disturbances,2014,148
Indonesia,Jawa Timur,Permanent agriculture,2014,5957
Indonesia,Jawa Timur,Settlements & Infrastructure,2014,48
Indonesia,Jawa Timur,Shifting cultivation,2014,406
Indonesia,Jawa Timur,Wildfire,2014,8
Indonesia,Jawa Timur,Hard commodities,2015,6
Indonesia,Jawa Timur,Logging,2015,66
Indonesia,Jawa Timur,Other natural disturbances,2015,8
Indonesia,Jawa Timur,Permanent agriculture,2015,2641
Indonesia,Jawa Timur,Settlements & Infrastructure,2015,31
Indonesia,Jawa Timur,Shifting cultivation,2015,109
Indonesia,Jawa Timur,Wildfire,2015,4
Indonesia,Jawa Timur,Hard commodities,2016,199
Indonesia,Jawa Timur,Logging,2016,53
Indonesia,Jawa Timur,Other natural disturbances,2016,169
Indonesia,Jawa Timur,Permanent agriculture,2016,2268
Indonesia,Jawa Timur,Settlements & Infrastructure,2016,34
Indonesia,Jawa Timur,Shifting cultivation,2016,289
Indonesia,Jawa Timur,Wildfire,2016,137
Indonesia,Jawa Timur,Hard commodities,2017,132
Indonesia,Jawa Timur,Logging,2017,28
Indonesia,Jawa Timur,Other natural disturbances,2017,83
Indonesia,Jawa Timur,Permanent agriculture,2017,4119
Indonesia,Jawa Timur,Settlements & Infrastructure,2017,86
Indonesia,Jawa Timur,Shifting cultivation,2017,161
Indonesia,Jawa Timur,Wildfire,2017,29
Indonesia,Jawa Timur,Hard commodities,2018,81
Indonesia,Jawa Timur,Logging,2018,52
Indonesia,Jawa Timur,Other natural disturbances,2018,31
Indonesia,Jawa Timur,Permanent agriculture,2018,3920
Indonesia,Jawa Timur,Settlements & Infrastructure,2018,82
Indonesia,Jawa Timur,Shifting cultivation,2018,87
Indonesia,Jawa Timur,Wildfire,2018,0
Indonesia,Jawa Timur,Hard commodities,2019,46
Indonesia,Jawa Timur,Logging,2019,34
Indonesia,Jawa Timur,Other natural disturbances,2019,150
Indonesia,Jawa Timur,Permanent agriculture,2019,4497
Indonesia,Jawa Timur,Settlements & Infrastructure,2019,46
Indonesia,Jawa Timur,Shifting cultivation,2019,237
Indonesia,Jawa Timur,Wildfire,2019,67
Indonesia,Jawa Timur,Hard commodities,2020,14
Indonesia,Jawa Timur,Logging,2020,32
Indonesia,Jawa Timur,Other natural disturbances,2020,674
Indonesia,Jawa Timur,Permanent agriculture,2020,3458
Indonesia,Jawa Timur,Settlements & Infrastructure,2020,65
Indonesia,Jawa Timur,Shifting cultivation,2020,485
Indonesia,Jawa Timur,Wildfire,2020,157
Indonesia,Jawa Timur,Hard commodities,2021,19
Indonesia,Jawa Timur,Logging,2021,42
Indonesia,Jawa Timur,Other natural disturbances,2021,111
Indonesia,Jawa Timur,Permanent agriculture,2021,3128
Indonesia,Jawa Timur,Settlements & Infrastructure,2021,54
Indonesia,Jawa Timur,Shifting cultivation,2021,119
Indonesia,Jawa Timur,Wildfire,2021,9
Indonesia,Jawa Timur,Hard commodities,2022,43
Indonesia,Jawa Timur,Logging,2022,39
Indonesia,Jawa Timur,Other natural disturbances,2022,127
Indonesia,Jawa Timur,Permanent agriculture,2022,2562
Indonesia,Jawa Timur,Settlements & Infrastructure,2022,34
Indonesia,Jawa Timur,Shifting cultivation,2022,87
Indonesia,Jawa Timur,Wildfire,2022,0
Indonesia,Jawa Timur,Hard commodities,2023,68
Indonesia,Jawa Timur,Logging,2023,100
Indonesia,Jawa Timur,Other natural disturbances,2023,31
Indonesia,Jawa Timur,Permanent agriculture,2023,5774
Indonesia,Jawa Timur,Settlements & Infrastructure,2023,156
Indonesia,Jawa Timur,Shifting cultivation,2023,130
Indonesia,Jawa Timur,Wildfire,2023,27
Indonesia,Jawa Timur,Hard commodities,2024,109
Indonesia,Jawa Timur,Logging,2024,27
Indonesia,Jawa Timur,Other natural disturbances,2024,59
Indonesia,Jawa Timur,Permanent agriculture,2024,4014
Indonesia,Jawa Timur,Settlements & Infrastructure,2024,73
Indonesia,Jawa Timur,Shifting cultivation,2024,148
Indonesia,Jawa Timur,Wildfire,2024,44
Indonesia,Jawa Timur,Hard commodities,2025,39
Indonesia,Jawa Timur,Logging,2025,61
Indonesia,Jawa Timur,Other natural disturbances,2025,93
Indonesia,Jawa Timur,Permanent agriculture,2025,3506
Indonesia,Jawa Timur,Settlements & Infrastructure,2025,54
Indonesia,Jawa Timur,Shifting cultivation,2025,214
Indonesia,Jawa Timur,Wildfire,2025,124
Indonesia,Kalimantan Barat,Hard commodities,2001,710
Indonesia,Kalimantan Barat,Logging,2001,3579
Indonesia,Kalimantan Barat,Other natural disturbances,2001,441
Indonesia,Kalimantan Barat,Permanent agriculture,2001,56582
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2001,172
Indonesia,Kalimantan Barat,Shifting cultivation,2001,15096
Indonesia,Kalimantan Barat,Wildfire,2001,1264
Indonesia,Kalimantan Barat,Hard commodities,2002,1202
Indonesia,Kalimantan Barat,Logging,2002,3964
Indonesia,Kalimantan Barat,Other natural disturbances,2002,957
Indonesia,Kalimantan Barat,Permanent agriculture,2002,71000
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2002,296
Indonesia,Kalimantan Barat,Shifting cultivation,2002,16124
Indonesia,Kalimantan Barat,Wildfire,2002,3261
Indonesia,Kalimantan Barat,Hard commodities,2003,762
Indonesia,Kalimantan Barat,Logging,2003,3379
Indonesia,Kalimantan Barat,Other natural disturbances,2003,213
Indonesia,Kalimantan Barat,Permanent agriculture,2003,36852
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2003,99
Indonesia,Kalimantan Barat,Shifting cultivation,2003,13177
Indonesia,Kalimantan Barat,Wildfire,2003,1439
Indonesia,Kalimantan Barat,Hard commodities,2004,1489
Indonesia,Kalimantan Barat,Logging,2004,5452
Indonesia,Kalimantan Barat,Other natural disturbances,2004,753
Indonesia,Kalimantan Barat,Permanent agriculture,2004,83424
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2004,366
Indonesia,Kalimantan Barat,Shifting cultivation,2004,19815
Indonesia,Kalimantan Barat,Wildfire,2004,2543
Indonesia,Kalimantan Barat,Hard commodities,2005,1099
Indonesia,Kalimantan Barat,Logging,2005,4409
Indonesia,Kalimantan Barat,Other natural disturbances,2005,662
Indonesia,Kalimantan Barat,Permanent agriculture,2005,81346
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2005,242
Indonesia,Kalimantan Barat,Shifting cultivation,2005,14696
Indonesia,Kalimantan Barat,Wildfire,2005,2052
Indonesia,Kalimantan Barat,Hard commodities,2006,1540
Indonesia,Kalimantan Barat,Logging,2006,4205
Indonesia,Kalimantan Barat,Other natural disturbances,2006,1194
Indonesia,Kalimantan Barat,Permanent agriculture,2006,101056
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2006,273
Indonesia,Kalimantan Barat,Shifting cultivation,2006,15651
Indonesia,Kalimantan Barat,Wildfire,2006,6946
Indonesia,Kalimantan Barat,Hard commodities,2007,1223
Indonesia,Kalimantan Barat,Logging,2007,3963
Indonesia,Kalimantan Barat,Other natural disturbances,2007,987
Indonesia,Kalimantan Barat,Permanent agriculture,2007,102642
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2007,265
Indonesia,Kalimantan Barat,Shifting cultivation,2007,8906
Indonesia,Kalimantan Barat,Wildfire,2007,14041
Indonesia,Kalimantan Barat,Hard commodities,2008,2498
Indonesia,Kalimantan Barat,Logging,2008,4967
Indonesia,Kalimantan Barat,Other natural disturbances,2008,596
Indonesia,Kalimantan Barat,Permanent agriculture,2008,175317
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2008,468
Indonesia,Kalimantan Barat,Shifting cultivation,2008,15850
Indonesia,Kalimantan Barat,Wildfire,2008,2950
Indonesia,Kalimantan Barat,Hard commodities,2009,3778
Indonesia,Kalimantan Barat,Logging,2009,6837
Indonesia,Kalimantan Barat,Other natural disturbances,2009,2799
Indonesia,Kalimantan Barat,Permanent agriculture,2009,241494
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2009,482
Indonesia,Kalimantan Barat,Shifting cultivation,2009,25245
Indonesia,Kalimantan Barat,Wildfire,2009,7897
Indonesia,Kalimantan Barat,Hard commodities,2010,2656
Indonesia,Kalimantan Barat,Logging,2010,3773
Indonesia,Kalimantan Barat,Other natural disturbances,2010,233
Indonesia,Kalimantan Barat,Permanent agriculture,2010,135296
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2010,281
Indonesia,Kalimantan Barat,Shifting cultivation,2010,6430
Indonesia,Kalimantan Barat,Wildfire,2010,3785
Indonesia,Kalimantan Barat,Hard commodities,2011,3450
Indonesia,Kalimantan Barat,Logging,2011,17848
Indonesia,Kalimantan Barat,Other natural disturbances,2011,2821
Indonesia,Kalimantan Barat,Permanent agriculture,2011,220582
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2011,467
Indonesia,Kalimantan Barat,Shifting cultivation,2011,12254
Indonesia,Kalimantan Barat,Wildfire,2011,4941
Indonesia,Kalimantan Barat,Hard commodities,2012,3388
Indonesia,Kalimantan Barat,Logging,2012,14219
Indonesia,Kalimantan Barat,Other natural disturbances,2012,4190
Indonesia,Kalimantan Barat,Permanent agriculture,2012,251982
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2012,535
Indonesia,Kalimantan Barat,Shifting cultivation,2012,23360
Indonesia,Kalimantan Barat,Wildfire,2012,14501
Indonesia,Kalimantan Barat,Hard commodities,2013,2277
Indonesia,Kalimantan Barat,Logging,2013,12623
Indonesia,Kalimantan Barat,Other natural disturbances,2013,560
Indonesia,Kalimantan Barat,Permanent agriculture,2013,159297
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2013,341
Indonesia,Kalimantan Barat,Shifting cultivation,2013,17441
Indonesia,Kalimantan Barat,Wildfire,2013,6921
Indonesia,Kalimantan Barat,Hard commodities,2014,2884
Indonesia,Kalimantan Barat,Logging,2014,9907
Indonesia,Kalimantan Barat,Other natural disturbances,2014,1763
Indonesia,Kalimantan Barat,Permanent agriculture,2014,225377
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2014,568
Indonesia,Kalimantan Barat,Shifting cultivation,2014,26290
Indonesia,Kalimantan Barat,Wildfire,2014,24536
Indonesia,Kalimantan Barat,Hard commodities,2015,2581
Indonesia,Kalimantan Barat,Logging,2015,9799
Indonesia,Kalimantan Barat,Other natural disturbances,2015,1994
Indonesia,Kalimantan Barat,Permanent agriculture,2015,176513
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2015,376
Indonesia,Kalimantan Barat,Shifting cultivation,2015,25473
Indonesia,Kalimantan Barat,Wildfire,2015,50893
Indonesia,Kalimantan Barat,Hard commodities,2016,2450
Indonesia,Kalimantan Barat,Logging,2016,10669
Indonesia,Kalimantan Barat,Other natural disturbances,2016,1708
Indonesia,Kalimantan Barat,Permanent agriculture,2016,196700
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2016,663
Indonesia,Kalimantan Barat,Shifting cultivation,2016,38242
Indonesia,Kalimantan Barat,Wildfire,2016,35769
Indonesia,Kalimantan Barat,Hard commodities,2017,1777
Indonesia,Kalimantan Barat,Logging,2017,10581
Indonesia,Kalimantan Barat,Other natural disturbances,2017,837
Indonesia,Kalimantan Barat,Permanent agriculture,2017,137219
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2017,522
Indonesia,Kalimantan Barat,Shifting cultivation,2017,26485
Indonesia,Kalimantan Barat,Wildfire,2017,3760
Indonesia,Kalimantan Barat,Hard commodities,2018,1783
Indonesia,Kalimantan Barat,Logging,2018,6523
Indonesia,Kalimantan Barat,Other natural disturbances,2018,1265
Indonesia,Kalimantan Barat,Permanent agriculture,2018,118799
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2018,388
Indonesia,Kalimantan Barat,Shifting cultivation,2018,26090
Indonesia,Kalimantan Barat,Wildfire,2018,4403
Indonesia,Kalimantan Barat,Hard commodities,2019,2060
Indonesia,Kalimantan Barat,Logging,2019,6717
Indonesia,Kalimantan Barat,Other natural disturbances,2019,946
Indonesia,Kalimantan Barat,Permanent agriculture,2019,99009
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2019,337
Indonesia,Kalimantan Barat,Shifting cultivation,2019,20568
Indonesia,Kalimantan Barat,Wildfire,2019,13421
Indonesia,Kalimantan Barat,Hard commodities,2020,2045
Indonesia,Kalimantan Barat,Logging,2020,8660
Indonesia,Kalimantan Barat,Other natural disturbances,2020,461
Indonesia,Kalimantan Barat,Permanent agriculture,2020,84399
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2020,199
Indonesia,Kalimantan Barat,Shifting cultivation,2020,19406
Indonesia,Kalimantan Barat,Wildfire,2020,6706
Indonesia,Kalimantan Barat,Hard commodities,2021,3101
Indonesia,Kalimantan Barat,Logging,2021,5460
Indonesia,Kalimantan Barat,Other natural disturbances,2021,690
Indonesia,Kalimantan Barat,Permanent agriculture,2021,80466
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2021,276
Indonesia,Kalimantan Barat,Shifting cultivation,2021,16764
Indonesia,Kalimantan Barat,Wildfire,2021,2184
Indonesia,Kalimantan Barat,Hard commodities,2022,3132
Indonesia,Kalimantan Barat,Logging,2022,7562
Indonesia,Kalimantan Barat,Other natural disturbances,2022,562
Indonesia,Kalimantan Barat,Permanent agriculture,2022,104439
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2022,283
Indonesia,Kalimantan Barat,Shifting cultivation,2022,14144
Indonesia,Kalimantan Barat,Wildfire,2022,7307
Indonesia,Kalimantan Barat,Hard commodities,2023,2814
Indonesia,Kalimantan Barat,Logging,2023,21401
Indonesia,Kalimantan Barat,Other natural disturbances,2023,457
Indonesia,Kalimantan Barat,Permanent agriculture,2023,149507
Indonesia,Kalimantan Barat,Settlements & Infrastructure,2023,377
