country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Aceh,Other natural disturbances,2017,1257
Indonesia,Aceh,Permanent agriculture,2017,37860
Indonesia,Aceh,Settlements & Infrastructure,2017,112
Indonesia,Aceh,Shifting cultivation,2017,4160
Indonesia,Aceh,Wildfire,2017,189
Indonesia,Aceh,Hard commodities,2018,400
Indonesia,Aceh,Logging,2018,1470
Indonesia,Aceh,Other natural disturbances,2018,566
Indonesia,Aceh,Permanent agriculture,2018,39084
Indonesia,Aceh,Settlements & Infrastructure,2018,108
Indonesia,Aceh,Shifting cultivation,2018,4209
Indonesia,Aceh,Wildfire,2018,233
Indonesia,Aceh,Hard commodities,2019,559
Indonesia,Aceh,Logging,2019,1108
Indonesia,Aceh,Other natural disturbances,2019,320
Indonesia,Aceh,Permanent agriculture,2019,23195
Indonesia,Aceh,Settlements & Infrastructure,2019,136
Indonesia,Aceh,Shifting cultivation,2019,3197
Indonesia,Aceh,Wildfire,2019,12
Indonesia,Aceh,Hard commodities,2020,448
Indonesia,Aceh,Logging,2020,905
Indonesia,Aceh,Other natural disturbances,2020,397
Indonesia,Aceh,Permanent agriculture,2020,25103
Indonesia,Aceh,Settlements & Infrastructure,2020,107
Indonesia,Aceh,Shifting cultivation,2020,3205
Indonesia,Aceh,Wildfire,2020,21
Indonesia,Aceh,Hard commodities,2021,1157
Indonesia,Aceh,Logging,2021,523
Indonesia,Aceh,Other natural disturbances,2021,538
Indonesia,Aceh,Permanent agriculture,2021,26303
Indonesia,Aceh,Settlements & Infrastructure,2021,63
Indonesia,Aceh,Shifting cultivation,2021,3113
Indonesia,Aceh,Wildfire,2021,39
Indonesia,Aceh,Hard commodities,2022,1226
Indonesia,Aceh,Logging,2022,739
Indonesia,Aceh,Other natural disturbances,2022,454
Indonesia,Aceh,Permanent agriculture,2022,25181
Indonesia,Aceh,Settlements & Infrastructure,2022,75
Indonesia,Aceh,Shifting cultivation,2022,1972
Indonesia,Aceh,Wildfire,2022,88
