country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Kalimantan Tengah,2005,111040142
Indonesia,Kalimantan Timur,2005,41322862
Indonesia,Kalimantan Utara,2005,17333991
Indonesia,Kepulauan Riau,2005,4433025
Indonesia,Lampung,2005,4894483
Indonesia,Maluku,2005,3959869
Indonesia,Maluku Utara,2005,4830634
Indonesia,Nusa Tenggara Barat,2005,1231203
Indonesia,Nusa Tenggara Timur,2005,2857669
Indonesia,Papua,2005,11143959
Indonesia,Papua Barat,2005,5424824
Indonesia,Riau,2005,395715394
Indonesia,Sulawesi Barat,2005,7031651
Indonesia,Sulawesi Selatan,2005,5762579
Indonesia,Sulawesi Tengah,2005,13222894
Indonesia,Sulawesi Tenggara,2005,11523630
Indonesia,Sulawesi Utara,2005,2611837
Indonesia,Sumatera Barat,2005,23670590
Indonesia,Sumatera Selatan,2005,66628834
Indonesia,Sumatera Utara,2005,42627564
Indonesia,Yogyakarta,2005,7831
Indonesia,Aceh,2006,13988635
Indonesia,Bali,2006,321754
Indonesia,Bangka Belitung,2006,10798481
Indonesia,Banten,2006,1100063
Indonesia,Bengkulu,2006,16047571
Indonesia,Gorontalo,2006,3676075
Indonesia,Jakarta Raya,2006,1459
Indonesia,Jambi,2006,85081995
Indonesia,Jawa Barat,2006,3262481
Indonesia,Jawa Tengah,2006,2006530
Indonesia,Jawa Timur,2006,3714555
Indonesia,Kalimantan Barat,2006,94749795
Indonesia,Kalimantan Selatan,2006,31303589
Indonesia,Kalimantan Tengah,2006,149794767
Indonesia,Kalimantan Timur,2006,78289445
Indonesia,Kalimantan Utara,2006,18053734
Indonesia,Kepulauan Riau,2006,3112665
Indonesia,Lampung,2006,7643916
Indonesia,Maluku,2006,8846487
Indonesia,Maluku Utara,2006,12104120
Indonesia,Nusa Tenggara Barat,2006,1440503
Indonesia,Nusa Tenggara Timur,2006,3912432
Indonesia,Papua,2006,15627671
Indonesia,Papua Barat,2006,8237500
Indonesia,Riau,2006,196058707
Indonesia,Sulawesi Barat,2006,8512164
Indonesia,Sulawesi Selatan,2006,9087336
Indonesia,Sulawesi Tengah,2006,22151539
Indonesia,Sulawesi Tenggara,2006,29406928
Indonesia,Sulawesi Utara,2006,3592794
Indonesia,Sumatera Barat,2006,24170413
Indonesia,Sumatera Selatan,2006,147426290
Indonesia,Sumatera Utara,2006,36527535
Indonesia,Yogyakarta,2006,32859
Indonesia,Aceh,2007,15340695
Indonesia,Bali,2007,313829
Indonesia,Bangka Belitung,2007,12067939
Indonesia,Banten,2007,609739
Indonesia,Bengkulu,2007,12553704
Indonesia,Gorontalo,2007,2959463
Indonesia,Jakarta Raya,2007,829
Indonesia,Jambi,2007,95940008
Indonesia,Jawa Barat,2007,2055467
Indonesia,Jawa Tengah,2007,1806292
Indonesia,Jawa Timur,2007,2925464
Indonesia,Kalimantan Barat,2007,101581432
Indonesia,Kalimantan Selatan,2007,17563385
Indonesia,Kalimantan Tengah,2007,297790964
Indonesia,Kalimantan Timur,2007,75686771
Indonesia,Kalimantan Utara,2007,23144194
Indonesia,Kepulauan Riau,2007,1488412
Indonesia,Lampung,2007,8052846
Indonesia,Maluku,2007,3123424
Indonesia,Maluku Utara,2007,3997802
Indonesia,Nusa Tenggara Barat,2007,1178791
Indonesia,Nusa Tenggara Timur,2007,2690954
Indonesia,Papua,2007,15948977
Indonesia,Papua Barat,2007,5286438
Indonesia,Riau,2007,228599258
Indonesia,Sulawesi Barat,2007,3049818
Indonesia,Sulawesi Selatan,2007,6134485
Indonesia,Sulawesi Tengah,2007,14523592
Indonesia,Sulawesi Tenggara,2007,6921768
Indonesia,Sulawesi Utara,2007,3163103
Indonesia,Sumatera Barat,2007,23727346
Indonesia,Sumatera Selatan,2007,178119434
Indonesia,Sumatera Utara,2007,28205549
Indonesia,Yogyakarta,2007,9869
Indonesia,Aceh,2008,25064284
Indonesia,Bali,2008,146754
Indonesia,Bangka Belitung,2008,11268030
Indonesia,Banten,2008,566214
Indonesia,Bengkulu,2008,15710097
Indonesia,Gorontalo,2008,1196561
Indonesia,Jakarta Raya,2008,121
Indonesia,Jambi,2008,106047520
Indonesia,Jawa Barat,2008,3437109
Indonesia,Jawa Tengah,2008,1633271
Indonesia,Jawa Timur,2008,2612917
Indonesia,Kalimantan Barat,2008,139827257
Indonesia,Kalimantan Selatan,2008,10909700
Indonesia,Kalimantan Tengah,2008,143437889
Indonesia,Kalimantan Timur,2008,66022672
Indonesia,Kalimantan Utara,2008,32274240
Indonesia,Kepulauan Riau,2008,4869748
Indonesia,Lampung,2008,9053481
Indonesia,Maluku,2008,1998723
Indonesia,Maluku Utara,2008,3728255
Indonesia,Nusa Tenggara Barat,2008,1513090
Indonesia,Nusa Tenggara Timur,2008,2405334
Indonesia,Papua,2008,11485626
Indonesia,Papua Barat,2008,6256341
Indonesia,Riau,2008,197402205
Indonesia,Sulawesi Barat,2008,8775492
Indonesia,Sulawesi Selatan,2008,4790419
Indonesia,Sulawesi Tengah,2008,11860971
Indonesia,Sulawesi Tenggara,2008,5801600
Indonesia,Sulawesi Utara,2008,1175580
Indonesia,Sumatera Barat,2008,25389625
Indonesia,Sumatera Selatan,2008,157903867
Indonesia,Sumatera Utara,2008,39386855
Indonesia,Yogyakarta,2008,14559
Indonesia,Aceh,2009,45217974
Indonesia,Bali,2009,233065
Indonesia,Bangka Belitung,2009,33562163
Indonesia,Banten,2009,1710038
Indonesia,Bengkulu,2009,13434508
Indonesia,Gorontalo,2009,7320825
Indonesia,Jakarta Raya,2009,38
Indonesia,Jambi,2009,100421990
Indonesia,Jawa Barat,2009,1872114
Indonesia,Jawa Tengah,2009,1921968
Indonesia,Jawa Timur,2009,2737810
Indonesia,Kalimantan Barat,2009,223813269
Indonesia,Kalimantan Selatan,2009,37657405
Indonesia,Kalimantan Tengah,2009,147606996
