latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.1454,112.5441,313.6,1.3,1.1,2008-01-01,0310,Terra,MODIS,65,6.2,287.8,9,D,0
4.4091,95.8934,316,4,1.9,2008-01-01,0447,Terra,MODIS,55,6.2,288.7,76.6,D,0
4.3974,95.8986,360.2,4,1.9,2008-01-01,0447,Terra,MODIS,87,6.2,290.9,622.4,D,0
4.3868,95.9266,315.4,4.1,1.9,2008-01-01,0447,Terra,MODIS,57,6.2,287.6,71.4,D,0
4.3925,95.8908,354.3,4,1.9,2008-01-01,0447,Terra,MODIS,73,6.2,291.1,508.7,D,0
-2.5538,110.2776,313.3,1.2,1.1,2008-01-01,0604,Aqua,MODIS,44,6.2,288,10.6,D,0
-2.7199,111.6167,321.3,1,1,2008-01-01,0604,Aqua,MODIS,79,6.2,294.3,13.1,D,0
-4.0802,105.3678,312.9,2.9,1.6,2008-01-01,0604,Aqua,MODIS,56,6.2,288.6,33.8,D,0
-2.7394,111.6631,318.1,1,1,2008-01-01,0604,Aqua,MODIS,57,6.2,292.8,10.1,D,0
-2.8827,112.3393,312.4,1,1,2008-01-01,0604,Aqua,MODIS,59,6.2,282.7,6,D,0
-2.8737,112.3381,312.1,1,1,2008-01-01,0604,Aqua,MODIS,53,6.2,282.5,6.5,D,0
4.3863,95.8948,338.5,3.7,1.8,2008-01-01,0745,Aqua,MODIS,0,6.2,280.6,258.3,D,0
4.395,95.8857,350.7,3.7,1.8,2008-01-01,0745,Aqua,MODIS,72,6.2,283.3,406.8,D,0
4.4024,95.8927,349.9,3.7,1.8,2008-01-01,0745,Aqua,MODIS,83,6.2,283.1,399.5,D,0
1.2299,101.0893,310.9,1.3,1.1,2008-01-01,1531,Terra,MODIS,81,6.2,288.8,13.9,N,0
1.484,101.1514,300.9,1.3,1.1,2008-01-01,1532,Terra,MODIS,26,6.2,287.2,4.5,N,0
4.3904,95.8935,305.4,2.8,1.6,2008-01-01,1533,Terra,MODIS,28,6.2,279.9,35.3,N,0
4.4048,95.8913,318.3,2.8,1.6,2008-01-01,1533,Terra,MODIS,96,6.2,281.2,77.4,N,0
4.3976,95.8921,303.7,1.5,1.2,2008-01-02,0352,Terra,MODIS,32,6.2,275.3,9.2,D,0
1.6639,100.3679,306.6,1,1,2008-01-02,0352,Terra,MODIS,27,6.2,286.6,4,D,0
-4.1956,122.2577,312.4,1.7,1.3,2008-01-02,0508,Aqua,MODIS,29,6.2,290.8,14.4,D,0
-2.579,121.3735,331.5,1.9,1.3,2008-01-02,0509,Aqua,MODIS,86,6.2,300.5,59,D,2
-2.5767,121.3896,324.2,1.9,1.3,2008-01-02,0509,Aqua,MODIS,81,6.2,299.1,35.8,D,2
-2.5849,121.3807,337.8,1.9,1.3,2008-01-02,0509,Aqua,MODIS,88,6.2,299.7,80.6,D,2
-1.6166,100.7545,302.7,1,1,2008-01-02,0648,Aqua,MODIS,42,6.2,274.7,3.4,D,0
1.5007,101.5157,317.5,1,1,2008-01-02,0648,Aqua,MODIS,67,6.2,289,9.1,D,0
1.1567,101.1017,313.6,1,1,2008-01-02,0648,Aqua,MODIS,62,6.2,289.6,6.8,D,0
1.4486,100.3761,320,1,1,2008-01-02,0648,Aqua,MODIS,74,6.2,292.5,13.6,D,0
1.4473,100.3671,317.3,1,1,2008-01-02,0648,Aqua,MODIS,70,6.2,291.9,11.3,D,0
1.0555,100.9773,316.5,1,1,2008-01-02,0648,Aqua,MODIS,55,6.2,295.3,7.7,D,0
