latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.0082,121.7859,312,2.3,1.5,2001-01-01,0258,Terra,MODIS,57,6.2,291.7,22.9,D,0
-8.4164,117.5434,320,1.3,1.1,2001-01-01,0259,Terra,MODIS,39,6.2,305.8,13.1,D,0
-8.1135,112.9281,359.1,1.1,1,2001-01-01,0259,Terra,MODIS,99,6.2,310.8,84.3,D,1
-8.1127,112.9221,309.8,1,1,2001-01-01,1516,Terra,MODIS,78,6.2,276.7,13.3,N,1
-6.9726,107.6152,314.3,1.4,1.2,2001-01-02,0342,Terra,MODIS,62,6.2,284.7,11.4,D,2
-8.2273,123.8952,312.5,2.2,1.4,2001-01-03,0247,Terra,MODIS,0,6.2,286.4,17.1,D,0
-8.2333,123.6391,316.2,2.1,1.4,2001-01-03,0247,Terra,MODIS,0,6.2,292,30.5,D,0
-6.9764,107.6108,312.9,1,1,2001-01-04,0330,Terra,MODIS,27,6.2,286.3,5.3,D,2
0.0546,101.735,312.4,1.5,1.2,2001-01-05,0411,Terra,MODIS,60,6.2,284.5,12.7,D,0
-7.687,110.8242,313.8,1,1,2001-01-06,0318,Terra,MODIS,59,6.2,294.3,5.1,D,0
2.01,100.456,314.3,1,1,2001-01-07,0358,Terra,MODIS,66,6.2,300.4,7.5,D,0
4.8951,96.304,304.6,3.3,1.7,2001-01-09,0345,Terra,MODIS,28,6.2,289.6,25,D,0
4.899,96.2975,311,3.3,1.7,2001-01-09,0345,Terra,MODIS,65,6.2,291.1,48.6,D,0
0.6915,101.0278,308.3,1.2,1.1,2001-01-09,0346,Terra,MODIS,37,6.2,286.4,5,D,0
-0.3251,102.1828,308.6,1.1,1,2001-01-09,0346,Terra,MODIS,47,6.2,288.2,6.5,D,0
-0.3618,101.8677,314.1,1.7,1.3,2001-01-11,0334,Terra,MODIS,61,6.2,293.6,14.6,D,0
0.8287,101.6276,306.5,1.8,1.3,2001-01-12,0417,Terra,MODIS,38,6.2,284.4,8.7,D,0
0.1545,101.3026,311.9,1.8,1.3,2001-01-12,0417,Terra,MODIS,66,6.2,291.2,12.5,D,0
-7.2267,110.4292,315.9,1.1,1,2001-01-13,0323,Terra,MODIS,74,6.2,292,11.4,D,0
-2.5812,121.3718,311.6,1.1,1.1,2001-01-14,0226,Terra,MODIS,67,6.2,291.7,5.9,D,2
-2.5826,121.3816,315.7,1.1,1.1,2001-01-14,0226,Terra,MODIS,73,6.2,292.4,9.5,D,2
-4.1387,122.1871,314.3,1,1,2001-01-14,0227,Terra,MODIS,63,6.2,296.9,4.9,D,0
-4.1401,122.1962,318.1,1,1,2001-01-14,0227,Terra,MODIS,70,6.2,297.2,8.4,D,0
2.161,100.8088,312.5,1,1,2001-01-14,0404,Terra,MODIS,63,6.2,295.2,7,D,0
0.7933,102.0107,312.2,1.2,1.1,2001-01-14,0404,Terra,MODIS,48,6.2,295.2,8.7,D,2
-2.8201,104.0716,307.4,1.9,1.3,2001-01-14,0405,Terra,MODIS,41,6.2,288.7,7.6,D,0
-2.8225,104.0882,313.2,1.9,1.3,2001-01-14,0405,Terra,MODIS,68,6.2,290.7,17.7,D,2
-2.8277,104.0809,313.9,1.9,1.3,2001-01-14,0405,Terra,MODIS,68,6.2,290.8,19.4,D,2
0.0602,101.7493,305.9,2.9,1.6,2001-01-14,1626,Terra,MODIS,38,6.2,280.7,34.6,N,0
0.0564,101.7227,320.2,2.9,1.6,2001-01-14,1626,Terra,MODIS,100,6.2,280,88.6,N,0
-1.952,113.1587,311.9,1,1,2001-01-15,0309,Terra,MODIS,60,6.2,290.7,5.9,D,0
-1.9533,113.1677,309,1,1,2001-01-15,0309,Terra,MODIS,49,6.2,290.4,3.9,D,0
-1.9873,112.7107,318.8,1,1,2001-01-15,0309,Terra,MODIS,73,6.2,298.2,9.2,D,0
-2.2188,110.7308,319.8,1.1,1,2001-01-15,0310,Terra,MODIS,73,6.2,292.8,12.8,D,0
-2.6316,110.8359,314.4,1.1,1,2001-01-15,0310,Terra,MODIS,65,6.2,294.2,7,D,0
-2.633,110.8456,324.1,1.1,1,2001-01-15,0310,Terra,MODIS,78,6.2,293.6,17.5,D,0
-2.7915,111.167,312.7,1.1,1,2001-01-15,0310,Terra,MODIS,62,6.2,294.1,5.6,D,0
1.4898,127.6345,304.2,1,1,2001-01-16,0213,Terra,MODIS,21,6.2,287.3,3.3,D,0
-3.7055,128.1627,311.9,1.1,1,2001-01-16,0214,Terra,MODIS,41,6.2,293.1,6.7,D,0
-2.2103,116.2852,324.5,1,1,2001-01-17,0257,Terra,MODIS,81,6.2,295.1,17.8,D,0
-3.7002,128.1835,316.1,1.5,1.2,2001-01-20,0150,Terra,MODIS,24,6.2,293.9,12.6,D,0
