latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.897,103.2645,313,1.1,1,2007-01-01,0636,Aqua,MODIS,67,6.2,285.3,10,D,0
-4.4009,104.8102,317,1,1,2007-01-03,0329,Terra,MODIS,69,6.2,295.6,8,D,0
-4.2012,104.7051,322.5,1,1,2007-01-03,0329,Terra,MODIS,77,6.2,295.6,14.2,D,0
-3.187,104.2018,313.8,1,1,2007-01-03,0329,Terra,MODIS,18,6.2,289.6,5.6,D,0
-3.5169,104.6891,314.4,1,1,2007-01-03,0329,Terra,MODIS,67,6.2,291.9,6.7,D,0
-3.5182,104.698,314.4,1,1,2007-01-03,0329,Terra,MODIS,57,6.2,291.9,6.5,D,0
-4.4621,104.476,323.7,1,1,2007-01-03,0329,Terra,MODIS,78,6.2,298.7,13.7,D,0
-3.9777,103.4812,314.6,1.7,1.3,2007-01-03,0623,Aqua,MODIS,58,6.2,273.5,24.2,D,0
-6.9725,110.2625,314.5,1.3,1.1,2007-01-05,0317,Terra,MODIS,34,6.2,295.9,7.9,D,0
-7.2215,110.4311,313.2,1.3,1.1,2007-01-05,0317,Terra,MODIS,58,6.2,295,9.8,D,0
-7.4571,110.9548,310.9,1.5,1.2,2007-01-05,0317,Terra,MODIS,55,6.2,292.2,8,D,0
2.7749,125.3981,326.1,1.1,1,2007-01-05,1359,Terra,MODIS,100,6.2,282.9,28.1,N,0
2.7765,125.4086,311.5,1.1,1,2007-01-05,1359,Terra,MODIS,75,6.2,281.5,12.6,N,0
-7.5441,110.4514,305.8,2,1.4,2007-01-05,1535,Terra,MODIS,66,6.2,276.6,27.6,N,1
-7.541,110.4439,302.5,2,1.4,2007-01-05,1535,Terra,MODIS,47,6.2,275.4,21.4,N,1
0.739,124.3105,315.4,1.1,1,2007-01-06,0219,Terra,MODIS,55,6.2,298.1,7.5,D,0
-4.1676,121.9917,317.7,1,1,2007-01-06,0221,Terra,MODIS,16,6.2,300.3,7.2,D,0
-3.9647,122.0514,319.4,1,1,2007-01-06,0221,Terra,MODIS,73,6.2,296.5,10.4,D,0
-9.6239,120.2105,320.8,1,1,2007-01-06,0222,Terra,MODIS,54,6.2,300.1,10.1,D,0
-9.6253,120.2195,327.7,1,1,2007-01-06,0222,Terra,MODIS,80,6.2,300,17.4,D,0
-0.0006,101.8294,322.9,1.5,1.2,2007-01-06,0358,Terra,MODIS,80,6.2,292.9,28.3,D,0
-0.3001,103.7303,311.4,2.1,1.4,2007-01-06,0358,Terra,MODIS,47,6.2,289.9,19.6,D,0
-0.0029,101.8226,320.2,1.5,1.2,2007-01-06,0358,Terra,MODIS,75,6.2,293.3,21.8,D,0
1.0443,101.0705,320,1.3,1.1,2007-01-06,0358,Terra,MODIS,62,6.2,299.4,14.8,D,0
